,x,y,name,area,url,title,abstract,index
10,-0.1688,-0.176,SNOWMASS21-AF0_AF0_S.Krave-246,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF0_AF0_S.Krave-246.pdf,Development of Advanced Materials and Processes for State,","" Cryogenics, vol. 25, pp. 304-306, 1985. [3] S. Yin and T. Shen, ""Epoxies for Nb3Sn Magnets- An Update,"" in US Magnet Development Collaboration Meeting, 2018. [4] D. Evans, J. T. Morgan and G. B. Stapleton, ""Epoxy Resins for Superconducting Magnet Encapsulation,"" Rutherford Laboratory, 1972. [5] S. Caspi and et al, ""Canted–Cosine–Theta magnet (CCT)—A Concept for High Field Accelerator Magnets,"" IEEE Transactions on Applied Superconductivity, vol. 24, no. 3, p. 4001804, 2014. [6] T. Shen and L. Garcia Fajardo, ""Superconducting Accelerator Magnets Based on High-Temperature Superconducting Bi-2212 Round Wires,"" Instruments, vol. 4, no. 17, 2020. [7] X. Wang, S. A.",10
11,-0.176,-0.1142,SNOWMASS21-AF0_AF0_toru.ogitsu@kek.jp-019,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF0_AF0_toru.ogitsu@kek.jp-019.pdf,"Letter of Interest for Snowmass 2021: Date: Aug. 10, 2020","has also succeeded developments of superconducting accelerator magnets for its own projects such as superconducting beam line for T2K neutrino experiment facility [3] and developments of solenoid magnets for detector and muon experiment program such as COMET [4] and g-2/EDM [5]. Although all of these project-based magnets were developed with the NbTi superconductor, R&Ds of magnet technologies with advanced superconductor such as A15 or HTS have been conducted as well. For A15, Nb3Sn conductor development, aiming for the Future Circular Collider (FCC-hh) proposed in Europe, is now being conducted in collaboration with CERN, Tohoku Univ., Tokai Univ., NIMS, and two",11
12,-0.1022,-0.1351,SNOWMASS21-AF0_AF0_Y.Pischalnikov-083,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF0_AF0_Y.Pischalnikov-083.pdf,"SNOWMASS202, RF Accelerator Technology","Progress in HEP strongly depends on the availability of future higher energy and higher intensity accelerating machines, based on SRF technology. SRF cavities will have much narrow bandwidth and will operate in more demanding modes- higher accelerating gradient and larger repetition rate. As consequence, cavities will be deformed/detuned by stronger electromagnetic (Lorentz) forces (LFD). Data presented in the Table 1 demonstrated significant increase of the LFD for future SRF LINACs over existing one. SRF cavity tuner is essential subsystem that allowed to bring and keep cavity in operational resonance. Tuner is the combination of the slow tuner (electro-mechanical system that",12
13,-0.1433,-0.1076,SNOWMASS21-AF1-008,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF1-008.pdf,Beam Physics of Extreme Bunch Compression,": High peak-current, high-brightness beams are of great importance to a large num- ber of future DoE applications and facilities, providing access to new science and considerably advancing the current state-of-the-art in accelerator technology. Notable examples are sig- nificant power and thus cost reduction for future energy-frontier colliders, plasma-wakefield accelerators (with acceleration gradients 10,000’s times higher than existing rf devices), at- tosecond X-ray FELs (allowing novel studies of atomic electronic processes) and compact, efficient γ-ray sources. The present level of understanding of the physics of such extreme beams remains, at best, incomplete, with wide gaps in both theoretical and experimental",13
14,-0.167,-0.1468,SNOWMASS21-AF1-012,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF1-012.pdf,A Leading US Facility for Beam Physics,"We would like to call attention of the particle physics and the accelerator communities to additional unique opportunities offered by the IOTA/FAST facility along four major categories: I. Beam physics (beyond current program): a. Artificial Intelligence (AI), advanced control systems and machine learning [4] b. Quantum Science with cold ions and single particles [5] c. Beam cooling II. Accelerator technology: a. Wakefields and high average current studies and optimization [6,7]. Long-range wakefields (LRWs) including higher-order modes (HOMs) and short-range wakefields (SRWs) generated in TESLA-type cavities due to off-axis steering can cause unwanted beam-size and emittance-dilution effects. Time-resolved diagnostics to display",14
15,-0.2173,0.0178,SNOWMASS21-AF1_AF0-061,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF1_AF0-061.pdf,High-energy high-luminosity ERL-based e+e- collider,". The study of the properties of the Higgs boson and looking for signs of new physics through deviations from the standard model prediction is one of the main topics in particle physics today. Future electron-positron colliders provide a powerful tool to perform high precision measurements of the Higgs and electroweak parameters and search for signs of new physics. An electron-positron collider with center of mass energy reach up to 600 GeV would enable double Higgs and ttH production, allowing access at tree level to the Higgs self-coupling and top Yukawa coupling, complementing the measurements at HL- LHC and other",15
16,-0.1128,-0.1224,SNOWMASS21-AF1_AF0-080,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF1_AF0-080.pdf,Workforce Diversity in the Field of Accelerators,"This letter discusses the diversity situation in the Accelerator Science and Technology field, as well as trends. The goal is to encourage subse- quent discussions in the community and with funding agencies for further improvements. 1 Today, around 4500 accelerator scientists and engineers work in more than 50 countries [1]. They collaborate with a pool of approximately three times as many technical experts. Several thousand people, including nearly 1400 in Europe and approximately 400 in the US, receive some training in accelerator and beam physics annually [2]. About 40 academic programs at universities worldwide, including a dozen each in the",16
17,-0.1504,-0.1069,SNOWMASS21-AF1_AF0-CommF4_CommF2_John_Jowett-027,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF1_AF0-CommF4_CommF2_John_Jowett-027.pdf,Snowmass 2021—Letter of Interest,"The Joint Universities Accelerator School (JUAS) http://juas.eu Thematic Areas  (AF1) Beam Physics and Accelerator Education  (CommF2) Career Pipeline Development  (CommF4) Physics Education Authors John M. Jowett, ESI/CERN, Director of JUAS, (john.jowett@cern.ch) Elias Métral, CERN, Deputy Director of JUAS Philippe Lebrun, ESI/CERN, Former Director of JUAS Hans Hoffmann, ESI/CERN, President of ESI Robert Holland, ESI, Director of ESI Louis Rinolfi, ESI/CERN, Former Director of JUAS François Méot, BNL, Former Director of JUAS Context An appreciation of the breadth and depth of the utility of particle accelerators to our modern technological society can be taken for granted among those",17
18,-0.1087,-0.1014,SNOWMASS21-AF1_AF0_Gennady_Stupakov-119,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF1_AF0_Gennady_Stupakov-119.pdf,Advanced Beam Cooling,"transverse beam emittance in order for the beam to be focused in a tiny spot size at the interaction point. For instance, the electron-ion collider approved for construction at the Brookhaven National Laboratory in January 2020 needs strong hadron cooling to achieve the luminosity 1034 cm−2 s−1 . This cooling should work with the beam intensities up to 2 × 1011 particles per bunch at the proton energy up to 275 GeV. There are two conventional cooling techniques for hadron and ion beams. The first one—the stochastic cooling—was invented by S. van der Meer at CERN in 1969. The second",18
19,-0.119,-0.1217,SNOWMASS21-AF1_AF0_lund@frib.msu.edu-023,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF1_AF0_lund@frib.msu.edu-023.pdf,Snowmass 2021 Letter of Interest: US Particle Accelerator School Long Term Needs,"Snowmass 2021 Letter of Interest: US Particle Accelerator School Long Term Needs to Support Training Accelerator Scientists and Engineers Steven M. Lund, Director USPAS, MSU/FRIB and Fermilab Susan Winchester, Manager USPAS, Fermilab The U.S. Particle Accelerator School (USPAS) is a national graduate-level program that provides training and workforce development for scientists and engineers working on, or aspiring to work on, charged particle accelerators and associated systems. We have carried out two intensive format sessions (Winter Session in January; Summer Session in June) per year in roughly the same format since 1987. Our sessions are two weeks in duration and “host”",19
20,-0.1155,-0.0739,SNOWMASS21-AF1_AF0_Nissen-202,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF1_AF0_Nissen-202.pdf,Low Energy Test Facilities and Analogue Machines for Research and Education,"These types of machines also lend themselves to studying interesting effects that would be difficult to study in a large-scale collider. As an example, using an off the shelf gun we could create a beam-beam test facility that would cost on the order of $1,000,000 that could study the evolution of phase space under beam-beam collisions, a type of collider synchronization scheme known as “gear-changing,” as well as space charge. A possible design for one of these test facilities is shown in Fig 1., and its potential properties are shown in Table 1. a) b) Figure 1. a) An outline",20
21,-0.1216,-0.1391,SNOWMASS21-AF1_AF0_Pietro_Musumeci-037,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF1_AF0_Pietro_Musumeci-037.pdf,Status Update and Grand Challenges in Education and Outreach for accelerator science,"The purpose of this letter is to outline the status and the opportunities in education and outreach for accelerator science and technology on behalf of the APS Division of Physics of Beams Education, Outreach and Diversity Committee. In particular we review the ongoing efforts to recruit student talent to Accelerator Science & Engineering and the related APS Division of Physics of Beams education and outreach activities in support of HEAP. Workforce needs and opportunities in accelerator science and technology There continues to be a strong need for accelerator science and technology workforce development due to steady demands from National Laboratories",21
22,-0.1214,-0.1367,SNOWMASS21-AF1_AF0_Raubenheimer-121,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF1_AF0_Raubenheimer-121.pdf,A Letter of Interest for Snowmass’21,"US career opportunities in Accelerator Science and Engineering require a pipeline of highly-trained and broadly skilled scientists and engineers at all levels of education. There are several US universities with graduate programs in Accelerator and Beam Physics [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], and opportunities to do Ph.D. research at US National Labs affiliated with US research universities. There are formal graduate courses in Accelerator Physics at US universities as well as through the US Particle Accelerator School [15]. However, there remains a workforce shortage in the field [16, 17, 18]. This",22
23,-0.1134,-0.1242,SNOWMASS21-AF1_AF0_SEC-AF-186,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF1_AF0_SEC-AF-186.pdf,Set For Success: How to Accelerate Early Career Accelerator Scientists,"collecting results and a sustained effort to maintain apparatus which can result in long periods without career development opportunities. Furthermore, work that is critical for the success of user facilities does not rise to the high levels of novelty demanded by high-impact journals, meaning useful work done in a national laboratory setting is documented in conference proceedings. What Scientific Opportunities Do Early Career People Need To Be Successful? Visibility: We encourage strong community support for Early-Career Scientists to present their major technical advances and scientific results in a high visibility environment, e.g. plenary and invited talks, seminars, newspaper articles, etc.",23
24,-0.1082,-0.0466,SNOWMASS21-AF1_AF0_Shiltsev-087,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF1_AF0_Shiltsev-087.pdf,Electron Lenses for Colliders and Intense,"frozen along the magnetic field lines which therefore assures outstanding stability of the electron beam. Figure 1: Tevatron electron lens in the colliders’ tunnel. Since the original proposals in the 1990s [1, 2], the electron lenses have been added to the toolbox of modern beam facilities, being particularly useful for the energy frontier superconducting hadron colliders (“supercolliders”) [3]. The electron lenses usually employ low energy (~10 kV), high current (1-10 A) sub-mm size magnetized electron beams to affect beneficially high energy beam of hadrons (protons, antiprotons). The design of the lenses required advancing several technologies: high field quality solenoids and",24
25,-0.1014,-0.0926,SNOWMASS21-AF1_AF0_Zimmermann-157,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF1_AF0_Zimmermann-157.pdf,High-Level Facility Summaries and Articles Promoting Accelerator Science,"propose a more general community effort towards enhancing the popular and academic appearance of accelerator physics. Following an initiative of the PRAB Editorial Board and with the strong support of the APS DPB, in 2019 Physical Review Accelerators and Beams announced a special collection of articles reviewing user-facility accelerators [1]. The then Chair of the DPB Publication Committee, Michael Blaskiewicz, agreed to act as the Special Editor of this collection. The announcement was distributed through various channels, including the mailing lists of the APS-DPB, the EPS-AG, and the EPS-HEPP Board. The special collection of user-facility accelerators is meant to serve",25
26,-0.1029,-0.1347,SNOWMASS21-AF1_AF1_Swapan_Chattopadhyay-174,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF1_AF1_Swapan_Chattopadhyay-174.pdf,Strategy for HEP Accelerator Workforce Training in,": A beam of charged/neutral particles or photons consists of small packets of ‘focused’ and ‘directed’ energy and information, delivered in an appropriate staccato fashion, to explore and probe matter at the smallest distances and fastest time-scales for fundamental science in various disciplines e.g. high energy particle physics, nuclear physics, basic energy sciences (atomic, molecular, condensed matter and life sciences), and for societal and industrial applications in energy, environment, health and human security . The whole enterprise is enabled by educated and trained experts in the physics and engineering of beams and associated techniques and technologies. The trained work force",26
27,-0.0868,-0.0919,SNOWMASS21-AF1_AF2_Kiersten_Ruisard-145,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF1_AF2_Kiersten_Ruisard-145.pdf,Loss prediction through modeling of high dynamic range beam,"are aligned with the grand challenges identified in the 2020 summary report of the Accelerator Physics and Beams (ABP) working groups report to the HEP General Accelerator RD (GARD) program [12], specifically: • Grand challenge #1 (beam intensity): How do we increase beam intensities by orders of magnitude? • Grand challenge #3 (beam control): How do we measure and control the beam distribution down to the level of individual particles? Over the past decade, advances in computing power have enabled one part-per-million resolution. The remaining hurdles of both simulation accuracy and diagnostic capability lie firmly in the domain of accelerator",27
28,-0.1816,-0.0764,SNOWMASS21-AF1_AF4-161,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF1_AF4-161.pdf,Beam Dynamics Challenges for High-Energy,"use of improved materials for the accelerating structures or by the use of plasma acceleration in the main linacs - the gradients in plasma cells can be much higher than in the normal-conducting copper structures of CLIC. One can thus hope to have a significantly cheaper and shorter machine. Whether these promises of a cost reduction can be realised is largely a technology question, which can only be answered by an experimental programme. In parallel with experimental work, an integrated design study would be needed to inform parameter choices for a plasma linac, identify which energy can be reached, and",28
29,-0.1346,-0.128,"SNOWMASS21-AF1_AF4_Alexander_Scheinker,_ascheink@lanl.gov-029",AF,"https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF1_AF4_Alexander_Scheinker,_ascheink@lanl.gov-029.pdf",Adaptive Machine Learning for Time Varying Systems: Noninvasive,": Particle accelerators are large complex systems composed of hundreds-thousands of interconnected elec- tromagnetic components including radio frequency (RF) resonant accelerating structures for beam acceleration and longitudinal focusing and various magnets for beam steering and transverse focusing. Charged particle beams are themselves complex objects living in a six dimensional phase space. They undergo complex collective effects such as coherent synchrotron radiation and vary with time in unpredictable ways. Sources of variation include accelerator RF phase and amplitude jitter, and magnet current jitter, and time-varying laser intensities and photoemission at the beam source. As bunches become shorter and more intense, the",29
30,0.2841,0.1651,SNOWMASS21-AF1_AF5-NF3_NF0_Jaehoon_Yu-209,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF1_AF5-NF3_NF0_Jaehoon_Yu-209.pdf,Snowmass2021 - Letter of Interest Concept for a Neutral-Rich Three-Dimensional,": The powerful future neutrino experiment facilities enable searches for Beyond the Standard Model phe- nomena in these experiments. Of these, low-mass dark matter and other charge neutral particles could also be produced in the neutrino target and the beam dump. This Letter of Interest discusses an idea of utilizing a three- dimensional sign-selected focusing horn train system that would permit the co-existence of beam-dump style experi- ments and the precision neutrino experiments. The key component in this system would be a three dimensional dipole that would direct horn focused charged particle beams toward the direction of the neutrino experiments",30
31,-0.1393,-0.0956,SNOWMASS21-AF1_AF5_GeorgHoffstaetter-233,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF1_AF5_GeorgHoffstaetter-233.pdf,A Muti-Turn ERL research facility: CBETA,": The Cornell-BNL ERL Test Accelerator (CBETA) has been operated as the first 4-turn SRF ERL [1]. This accelerator is available and uniquely qualified as a first-rate ERL research facility. We encourage the Snowmass community to evaluate the importance of its research potential and to promote its use for a wide scientific program. The Cornell-BNL ERL Test Accelerator (CBETA) [2, 3] is the world’s first multi-turn particle accelerator that captures the accelerated particles and reuses nearly all of the energy to accelerate new particles. At small current, electrons have been accelerated for four passes through an SRF linac, and have",31
32,-0.1326,-0.1146,SNOWMASS21-AF1_AF6-041,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF1_AF6-041.pdf,Beam Physics Challenges & Research Opportunities,": Structure-wakefield accelerators (SWFAs) have the potential to support TeV-class high-luminosity lepton colliders. SWFAs can be configured in either two-beam acceleration (TBA) or collinear wakefield acceleration (CWA). Enabling high-gradient, efficient SWFAs to produce TeV-class high-quality beams depends on precise control of the beam distribution. This LOI identifies critical beam-dynamics research opportunities relevant to beam-driven wakefield accelerators. Introduction: Beam-driven wakefield accelerators rely on high-charge “drive” bunches [O(10– 100 nC)] passing through slow-wave structures (SWSs) to excite electromagnetic wakefields [1]. The produced wakefields can be directly used to accelerate a delayed “main” bunch (CWA) or be out-coupled and guided to an optimized",32
33,-0.1117,-0.1029,SNOWMASS21-AF1_AF6-043,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF1_AF6-043.pdf,Research and Educational Opportunities at the Argonne Wakefield Accelerator (AWA) Facility,": The Argonne Wakefield Accelerator (AWA) facility [1] (Figure 1) develops future acceleration methods and technologies. The primary method under development is Structure Wakefield Acceleration (SWFA), an electron beam-driven wakefield acceleration method to enable an affordable future multi-TeV e+e- collider [2,3] and/or a 300-GeV Higgs factory for exploring high-energy physics (HEP). In addition, the AWA educates the next generation of accelerator scientists and engineers. Over the last decade, the AWA has supported graduate-student research with a yearly average of graduating three Ph.D.’s per year and regularly hosts summer interns. The AWA also provides university partners, other national laboratories, and industry",33
34,-0.1409,-0.1528,SNOWMASS21-AF1_AF6-CommF0_CommF0_Thomas-248,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF1_AF6-CommF0_CommF0_Thomas-248.pdf,Snowmass 2020 Letter of Interest: Plasma Accelerator Science,"Community planning activities for plasma physics and high intensity laser facilities include the Plasma 2020 study [2], APS Division of Plasma Physics Community Planning Process [3], the Brightest Light Initiative 1 [4] and the Workshop on Opportunities, Challenges, and Best Practices for Basic Plasma Science User Facil- ities [5]. Nevertheless, in the US, research in plasma accelerators is fragmented, with little collaboration or coordination between different institutions. The formation of the Accelerator Test Facilities Council among the National Laboratories is a start in this process, but needs expansion and coordination with University programs. Moreover, there is a need for education",34
35,-0.1448,-0.1363,SNOWMASS21-AF1_AF6_Mori-218,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF1_AF6_Mori-218.pdf,Computational modeling needs of plasma-based accelerators towards,"Rapid experimental progress in PBA has been aided by a more complete theoretical understanding of the beam- and laser-plasma interactions and the emergence of numerical tools to simulate the experimental configurations. When modeling PBA, it is necessary to model the self-consistent generation and evolution of the wakefield, the driver evolution over pump depletion distances, the injection and capture of witness beams of electrons/positrons, and the acceleration and the beam loading of the wakefield by the witness beams. High-fidelity modeling also requires accurate knowledge of the plasma formation. Furthermore, in end-to-end modeling of a PBA-based collider, it is necessary to model",35
36,-0.037,-0.0195,SNOWMASS21-AF1_AF6_Winklehner-241,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF1_AF6_Winklehner-241.pdf,"Letter of Interest: The Path to Compact, High-Intensity Beams","ulations that allow for relatively quick turnarounds of capture product decays within 1 second yielding a high highly accurate simulations, spanning large parameter endpoint-energy ν̄e that is detected via inverse-beta de- spaces. Typically implemented as particle-in-cell algo- cay (IBD) in the detector. For the most-favored parame- rithms, these codes can simulate high intensity beams ters for sterile neutrinos, the ν̄e oscillation pattern has with space charge as well as plasma systems, beam-field maxima and minima within the volume of the detec- interactions, beam-surface interactions and beam-gas in- tor, providing exquisite sensitivity for discovery of one teractions [29, 30]. or more",36
37,-0.1063,-0.0943,SNOWMASS21-AF1_AF6_Zimmermann-155,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF1_AF6_Zimmermann-155.pdf,Strategy Towards Ultimate Limits,"M. Bai (GSI), S. Brooks (BNL), G. Franchetti (GSI), Z. Huang (SLAC), V. Lebedev (FNAL), V. Shiltsev (FNAL), G. Stupakov (SLAC), U. Wienands (ANL), F. Zimmermann (CERN) We propose a joint global brainstorming and R&D effort to identify and quantify, in a structured way, the ultimate limits for extreme beams, such as limits on high-gradient acceleration, high-field bending, beam size, beam brightness, and luminosity. Hadron beam brightness, if, e.g., limited by space-charge effects, could be boosted by various approaches to space-charge compensation, by various types of cooling (including coherent electron cooling, optical stochastic cooling, enhancement of synchrotron radiation), and by",37
38,-0.1231,-0.0938,SNOWMASS21-AF1_AF6_Zimmermann-156,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF1_AF6_Zimmermann-156.pdf,Exploiting Global Accelerator Network,"R. Aleksan (CEA), A. Bogacz (JLab), S. Cousineau (ORNL), W. Fischer (BNL), G. Franchetti (GSI), J. Qiang (LBNL), D. Ratner (SLAC), V. Shiltsev (FNAL), M. Vretenar (CERN), F. Zimmermann (CERN) In Europe, a successful series of EU co-funded accelerator networks – including CARE (2004-2008), EuCARD (2009-2013), EuCARD-2 (2013-2017), and the ongoing ARIES (2017-2021) [1] – have developed the European accelerator R&D landscape into a “super-advanced community”. Among other means, this development was accomplished, through a succession of topical workshops. Many of the themes addressed by past European network workshops (e.g., pioneering workshops on slow extraction) were subsequently taken up by",38
